ALBUM,CONS,EXCL,LINE,MOJO,PASTE,PFORK,QTUS,RS,RT,SGUM,TREBLE,UNCUT,WIRE,CMPLX,LTW,NME,BLBRD,CRACK,DORK,DBLJ,ERMLK,FADER,FLOOD,KRNG,MONDO,NORIP,POPMT,SLANT,NT,,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Perfume Genius - Glory,15,23,7,,32,48,,,,,,21,,,,,,,,,,,27,,28,,,39,,,,,,,,,,,,,,,,,,26.67,2.962962963,60,9,1,0
Rochelle Jordan - Through The Wall,30,,,,8,25,,,,,44,,,,,37,,,,34,7,2,,,,,,,,,,,,,,,,,,,,,,,,23.38,2.921875,60.75862069,8,3,0
Los Thuthanaka - Los Thuthanaka,,,,,2,1,,,,14,,,3,,,,,9,,,,,,,,,,12,,,,,,,,,,,,,,,,,,6.83,1.138888889,60.89655172,6,4,1
Cameron Winter - Heavy Metal,14,,,46,16,3,,32,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,16.71,2.387755102,60.93103448,7,3,0
Aya - Hexed!,,,,,12,22,1,,,25,,,1,,,,,18,,,,,,,,,,47,,,,,,,,,,,,,,,,,,18.00,2.571428571,61.24137931,7,2,2
Florence + The Machine - Everybody Scream,50,,,,,,,25,,,,,,,4,27,29,,,20,,,,,16,,31,,,,,,,,,,,,,,,,,,,25.25,3.15625,61.27586207,8,1,0
Smerz - Big City Life,,,17,,,11,,,27,6,,,12,,,,,41,,,,14,,,,,,,,,,,,,,,,,,,,,,,,18.29,2.612244898,61.31034483,7,1,0
Water From Your Eyes - It's a Beautiful Place,,22,,,,17,,,,19,,,,,,,,48,31,,,31,,,43,,,,5,,,,,,,,,,,,,,,,,27.00,3.375,61.75862069,8,1,0
Big Thief - Double Infinity,,,,4,,,,,39,,,17,,,,26,,,,23,,,,,23,,,48,48,,,,,,,,,,,,,,,,,28.50,3.5625,62.17241379,8,1,0
YHWH Nailgun - 45 Pounds,26,,,,,29,,,26,,,,,,,23,,17,,,,,,,,,,15,17,,,,,,,,,,,,,,,,,21.86,3.12244898,62.17241379,7,0,0
"Ethel Cain - Willoughby Tucker, I'll Always Love You",,,47,,,,,,41,,,,,,,46,,,48,,23,,,,4,,48,31,16,,,,,,,,,,,,,,,,,33.78,3.75308642,62.20689655,9,1,0
Lambrini Girls - Who Let the Dogs Out,49,30,44,,,,,,15,,,,,,,32,,,28,,,,23,12,,,,,,,,,,,,,,,,,,,,,,29.13,3.640625,62.34482759,8,0,0
Model/Actriz - Pirouette,,40,,,22,,,,,,15,,,,,,,,,,,,31,,24,,,19,12,,,,,,,,,,,,,,,,,23.29,3.326530612,62.51724138,7,0,0
Jade - That's Showbiz Baby!,,,,,,,,22,,21,,,,,,17,,,14,,,8,,,,,46,41,,,,,,,,,,,,,,,,,,24.14,3.448979592,62.72413793,7,1,0
Stereolab - Instant Holograms on Metal Film,,49,,6,,,30,,,,,2,9,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,18.33,3.055555556,63.27586207,6,3,0
Suede - Antidepressants,,,,2,,,21,,,,,,,,2,,,,,,,,40,,18,,,,34,,,,,,,,,,,,,,,,,19.50,3.25,63.51724138,6,2,0
Agriculture - The Spiritual Sound,,21,,,41,,7,,,20,6,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,20.67,3.444444444,63.75862069,6,2,0
Wolf Alice - The Clearing,,,,,,,,,,,,,,,16,11,,,4,,,,45,,15,,,,41,,,,,,,,,,,,,,,,,22.00,3.666666667,64.03448276,6,1,0
Richard Dawson - End of the Middle,,,,14,,,3,,,,,5,13,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,14.40,2.88,64.55172414,5,2,0
Ninajirachi - I Love My Computer,,20,5,,36,,,,,16,,,,,,,,,,26,46,,,,,,,,,,,,,,,,,,,,,,,,,24.83,4.138888889,64.62068966,6,1,0
Horsegirl - Phonetics On and On,,,,26,9,,,39,,,,25,,,,,,29,,,,,22,,,,,,,,,,,,,,,,,,,,,,,25.00,4.166666667,64.65517241,6,1,0
Lady Gaga - Mayhem,28,,,,,,,2,,,,,,,,19,3,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,17.00,3.4,65,5,2,0
Saya Gray - Saya,,5,26,,24,,,,17,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,3.4,65,5,1,0
Amaarae - Black Star,,,,,,10,,37,,,,,,47,,12,48,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,27.17,4.527777778,65.10344828,6,2,0
Ryan Davis & The Roadhouse Band - New Threats From The Soul,,,28,,7,31,,,,46,,6,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,27.50,4.583333333,65.17241379,6,2,0
Erika de Casier - Lifetime,41,,,,,26,,,,,,,,,,43,,,,,,7,,,,,,27,28,,,,,,,,,,,,,,,,,28.67,4.777777778,65.4137931,6,1,0
S.G. Goodman - Planting By The Signs,,,30,,,,,,,,,12,,,,,,,,,,,21,,14,,22,,,,,,,,,,,,,,,,,,,19.80,3.96,65.48275862,5,0,0
Samia - Bloodless,42,,39,,,,,,7,,,,,,,44,,,,,,,,,,,,20,27,,,,,,,,,,,,,,,,,29.83,4.972222222,65.65517241,6,1,0
Jason Isbell - Foxes in the Snow,,,,33,,,,,8,,29,20,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,23.00,4.6,66.03448276,5,1,0
Maruja - Pain to Power,,,19,,,,,,,,,,,,,39,,,,,,,,30,10,,,,21,,,,,,,,,,,,,,,,,23.80,4.76,66.17241379,5,1,0
Anna von Hausswolff - Iconoclasts,,,1,,26,,,,,,,,,,,,,,,,,,,,,2,,,19,,,,,,,,,,,,,,,,,12.00,3,66.31034483,4,2,1
Joanne Robertson - Blurrr,,,,,19,8,,,,37,,,37,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.60,4.92,66.31034483,5,1,0
Tyler Childers - Snipe Hunter,,,,,,,,7,,,36,,,,,,26,,,,,,,,50,,,6,,,,,,,,,,,,,,,,,,25.00,5,66.37931034,5,2,0
The Last Dinner Party - From the Pyre,,,,,,,,,31,,,,,,,29,,,12,,,,,,30,,,,24,,,,,,,,,,,,,,,,,25.20,5.04,66.4137931,5,0,0
Justin Bieber - Swag,,,,,,,,20,,,,,,4,,,13,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,14.75,3.6875,66.68965517,4,1,0
Playboi Carti - Music,,,,,,35,,10,,,,,,2,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.50,3.875,66.79310345,4,2,0
Blawan - SickElixir,,,,,,37,5,,,,,,25,,,,,33,,,,,42,,,,,,,,,,,,,,,,,,,,,,,28.40,5.68,66.96551724,5,1,0
Sharon Van Etten & The Attachment Theory - S/T,19,,45,41,,,,,,,38,,,,,,,,,,,,30,,,,44,,,,,,,,,,,,,,,,,,,36.17,6.027777778,66.96551724,6,0,0
Annahstasia - Tether,,,,,,44,,,28,,27,,,,,30,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.80,5.76,67.03448276,5,0,0
Youth Lagoon - Rarely Do I Dream,,,,,11,,,,,,,,,,,,,,,,,,,,,10,,23,26,,,,,,,,,,,,,,,,,17.50,4.375,67.06896552,4,1,0
Ethel Cain - Perverts,,,22,,44,,50,,,,,,,,,,,3,,,,,35,,,,,,,,,,,,,,,,,,,,,,,30.80,6.16,67.37931034,5,1,0
Spiritbox - Tsunami Sea,38,35,,,,,,,,,,,,,,31,,,45,,,,,7,,,,,,,,,,,,,,,,,,,,,,31.20,6.24,67.44827586,5,1,0
Alex G - Headlights,,19,,,,23,,,,,,,,,,,,,46,,,,,,,34,,36,,,,,,,,,,,,,,,,,,31.60,6.32,67.51724138,5,0,0
"Black Country, New Road - Forever Howlong",,,,,,,,,6,,,,,,,,,,30,,,,,,40,,,,11,,,,,,,,,,,,,,,,,21.75,5.4375,67.65517241,4,1,0
Jeff Tweedy - Twilight Override,,,,17,,,,28,,,,8,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,22.00,5.5,67.68965517,4,1,0
Lifeguard - Ripped and Torn,,,,,,,,21,,,24,,,,,,,,,,,,,,,7,,,38,,,,,,,,,,,,,,,,,22.50,5.625,67.75862069,4,1,0
Hotline TNT - Raspberry Moon,35,,,,,,,,18,42,30,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,33.20,6.64,67.79310345,5,0,0
Militarie Gun - God Save the Gun,,,,,,,,,,28,,,,,,,,,,,,,15,37,12,,,,,,,,,,,,,,,,,,,,,23.00,5.75,67.82758621,4,0,0
MIKE - Showbiz!,22,,,,31,,,,,,,,,,,,,,,,9,32,,,,,,,,,,,,,,,,,,,,,,,,23.50,5.875,67.89655172,4,1,0
The Armed - The Future is Here and Everything Needs to be Destroyed,,39,40,,,,,,,,5,,,,,,,,,,,,39,,,,,,49,,,,,,,,,,,,,,,,,34.40,6.88,68,5,1,0
Sabrina Carpenter - Man's Best Friend,31,,,,,,,13,,,,,,,,,6,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75,6.1875,68.06896552,4,1,0
Saba & No I.D. - From the Private Collection of...,7,44,,,,,,,,,,,,,,,,,,,,,24,,,27,,,,,,,,,,,,,,,,,,,,25.50,6.375,68.17241379,4,1,0
Greet Death - Die in Love,,45,,,,,,,,,17,,,,,,,,,,,,,,,5,36,,,,,,,,,,,,,,,,,,,25.75,6.4375,68.20689655,4,1,0
JID - God Does Like Ugly,16,,,,,,,,,,,,,7,,,,,,,45,,,,,,,,35,,,,,,,,,,,,,,,,,25.75,6.4375,68.20689655,4,1,0
KeiyaA - Hooke's Law,,,10,,43,40,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,27.50,6.875,68.44827586,4,1,0
Haim - I Quit,,,,,,,,35,,,42,,,,,35,33,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,37.40,7.48,68.51724138,5,0,0
Baxter Dury - Allbarone,,,,21,,,,,,,,19,,,,,,,,,,,,,45,,30,,,,,,,,,,,,,,,,,,,28.75,7.1875,68.62068966,4,0,0
"McKinley Dixon - Magic, Alive!",24,,,,10,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,13.33,4.444444444,68.62068966,3,2,0
Self Esteem - A Complicated Woman,,,,,,,,,,,,,,,14,,,,34,,,,,,46,,21,,,,,,,,,,,,,,,,,,,28.75,7.1875,68.62068966,4,0,0
Lucrecia Dalt - A Danger to Ourselves,,,,,,34,,,,,10,,,,,,,36,,,,,,,,36,,,,,,,,,,,,,,,,,,,,29.00,7.25,68.65517241,4,1,0
John Glacier - Like a Ribbon,,,18,,,,8,,44,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.25,7.3125,68.68965517,4,1,0
Heartworms - Glutton for Punishment,,,,,,,,,47,,,,,,43,,,,33,,,,,,,47,29,,,,,,,,,,,,,,,,,,,39.80,7.96,68.93103448,5,0,0
Cate Le Bon - Michaelangelo Dying,,,,28,,,,,,,25,46,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,31.25,7.8125,68.96551724,4,0,0
FKA Twigs - Eusexua Afterglow,,,,,,,,,,,,,,,,,,,,,19,,18,,,,,13,,,,,,,,,,,,,,,,,,16.67,5.555555556,68.96551724,3,0,0
Jane Remover - Revengeseekerz,,,,,29,,,,,15,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,17.67,5.888888889,69.06896552,3,1,0
Japanese Breakfast - For Melancholy Brunettes (& Sad Women),,,,,,,,43,37,,,,,,,,,,40,,,,34,,,,,50,,,,,,,,,,,,,,,,,,40.80,8.16,69.10344828,5,0,0
La Dispute - No One Was Driving The Car,,,,,,,,,,,,,,,,,,,,,,,41,,37,26,,,25,,,,,,,,,,,,,,,,,32.25,8.0625,69.10344828,4,0,0
Panda Bear - Sinister Grift,,,,40,34,43,,,,,,,42,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.60,8.32,69.24137931,5,0,0
Ela Minus - Día,,,,,48,,,,,,,,,,,,,,,,3,,,,42,42,,,,,,,,,,,,,,,,,,,,33.75,8.4375,69.31034483,4,1,0
These New Puritans - Crooked Wing,,,,,,,4,,,,,36,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,20.33,6.777777778,69.34482759,3,1,0
Benjamin Booker - Lower,,,,,49,,,,,,,,,,,,,,,,,,50,,,15,23,,,,,,,,,,,,,,,,,,,34.25,8.5625,69.37931034,4,0,0
Greg Freeman - Burnover,,,,,47,,,,,10,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,21.67,7.222222222,69.48275862,3,2,0
Annie & The Caldwells - Can't Lose My (Soul),,,,5,,,,,,,,44,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,22.00,7.333333333,69.51724138,3,1,0
Benefits - Constant Noise,,,21,,,,,,,,,,,,3,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,22.00,7.333333333,69.51724138,3,1,0
Eiko Ishibashi - Antigone,,,,,,,23,,,,,37,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,7.333333333,69.51724138,3,1,0
OsamaSon - Jump Out,,,,,,,22,,,,,,,29,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,22.33,7.444444444,69.55172414,3,0,0
Divorce - Drive to Goldenhammer,,,,,,,,,,,,,,,,,,,16,,,,,,27,25,,,,,,,,,,,,,,,,,,,,22.67,7.555555556,69.5862069,3,0,0
Hannah Frances - Nested in Tangles,,,,,28,,,,,,18,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,22.67,7.555555556,69.5862069,3,0,0
Dave - The Boy Who Played the Harp,,,,,,,,,,,,,,18,,,,,,39,12,,,,,,,,,,,,,,,,,,,,,,,,,23.00,7.666666667,69.62068966,3,0,0
James K - Friend,,,,,,47,,,,11,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,7.666666667,69.62068966,3,0,0
Saint Etienne - International,,,,30,,,,,11,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,7.666666667,69.62068966,3,0,0
Sam Fender - People Watching,,,,,,,,,,,,,,,,20,28,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,7.666666667,69.62068966,3,0,0
Momma - Welcome to My Blue Sky,10,,,,,,,,,24,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,24.00,8,69.72413793,3,1,0
DJ Haram - Beside Myself,,,,,,,,,,,28,,5,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33,8.111111111,69.75862069,3,1,0
Hayden Pedigo - I'll Be Waving as You Drive Away,,,,,23,38,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,25.00,8.333333333,69.82758621,3,0,0
Mary Halvorson - About Ghosts,,,,,,,49,,,,23,,40,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,37.75,9.4375,69.86206897,4,0,0
Mavis Staples - Sad and Beautiful World,,,,15,,,,,,,,,,,47,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,25.33,8.444444444,69.86206897,3,0,0
Cosey Fanni Tutti - 2t2,,,,,,,40,,,,,,31,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.67,8.555555556,69.89655172,3,1,0
Titanic - Hagen,,,,,33,19,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,8.666666667,69.93103448,3,0,0
Matt Berninger - Get Sunk,,,,,,,,,25,,,35,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,26.67,8.888888889,70,3,0,0
Margo Price - Hard Headed Woman,,,,50,,,,,,,32,43,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,10,70.17241379,4,0,0
Neko Case - Neon Grey Midnight Green,,,,,,,,,,,,,,,,,,,,,,,,,31,,16,38,,,,,,,,,,,,,,,,,,28.33,9.444444444,70.17241379,3,0,0
The Tubs - Cotton Crown,,,,8,38,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.67,9.555555556,70.20689655,3,1,0
EsDeeKid - Rebel,,,,,,,,,,,,,,38,,48,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33,9.777777778,70.27586207,3,1,0
"Kali Uchis - Sincerely,",,,,,,,,,,,,,,25,,,31,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,29.33,9.777777778,70.27586207,3,0,0
Nick León - A Tropical Entropy,,,,,,20,,,,43,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33,9.777777778,70.27586207,3,0,0
Swans - Birthing,,,,,,,,,,,,,,,6,,,,,,,,,,49,,,40,,,,,,,,,,,,,,,,,,31.67,10.55555556,70.51724138,3,1,0
The Beths - Straight Line Was a Lie,,,,,,,,,,,,,,,,,,,,33,,,,,,35,,28,,,,,,,,,,,,,,,,,,32.00,10.66666667,70.55172414,3,0,0
Skrillex - Fuck U Skrillex You Think Ur Andy Warhold But Ur Not!! <3,,,,,,,,,,,,,,,,,,,,,20,,,,,,,3,,,,,,,,,,,,,,,,,,11.50,5.75,70.62068966,2,1,0
Taylor Swift - The Life of a Showgirl,,,,,,,,15,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,6,70.65517241,2,1,0
Robert Forster - Strawberries,,,,7,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.50,6.25,70.68965517,2,1,0
Robert Plant - Saving Grace,,,,16,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,6.5,70.72413793,2,1,0
Cardi B - Am I The Drama?,,,,,,,,,,,,,,8,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50,6.75,70.75862069,2,1,0
Cass McCombs - Interior Live Oak,,,,20,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50,6.75,70.75862069,2,1,0
Alan Sparhawk & Trampled By Turtles - S/T,,,,12,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,7,70.79310345,2,0,0
Che - Rest in Bass,,,,,,39,,,,41,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.33,11.44444444,70.79310345,3,0,0
Backxwash - Only Dust Remains,,,,,,,,,,,43,,24,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,34.67,11.55555556,70.82758621,3,0,0
Heinali & Andriana-Yaroslave Saienko - Hildegard,,,,,,,13,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,7.25,70.82758621,2,0,0
Silvana Estrada - Vendrán Suaves Lluvias,,,13,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,7.25,70.82758621,2,0,0
Freddie Gibbs & The Alchemist - Alfredo 2,,33,,,,,,,35,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.67,11.88888889,70.93103448,3,0,0
Patterson Hood - Exploding Trees & Airplane Screams,,,,,,,,,,,,31,,,,,,,,,,,,,,,27,49,,,,,,,,,,,,,,,,,,35.67,11.88888889,70.93103448,3,0,0
Tortoise - Touch,,,,,,,,,,,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,8,70.93103448,2,1,0
Djrum - Under Tangled Silence,,,,,,27,,,,38,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67,12.22222222,71.03448276,3,0,0
Ichiko Aoba - Luminescent Creatures,,,31,,,33,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,12.33333333,71.06896552,3,0,0
Anthony Szmierek - Service Station at the End of the Universe,,,,,,,,,,,,,,,,,,,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,18.50,9.25,71.10344828,2,1,0
The Necks - Disquiet,,,,,,,,,,,33,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.50,9.25,71.10344828,2,1,0
Paul Weller - Find El Dorado,,,,11,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,9.5,71.13793103,2,0,0
Danny Brown - Stardust,,,,,,,31,,,,,,,37,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,38.00,12.66666667,71.17241379,3,0,0
Pup - Who Will Look After the Dogs?,23,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.50,9.75,71.17241379,2,0,0
Snocaps - Snocaps,,,,,,,,36,,36,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,38.00,12.66666667,71.17241379,3,0,0
Folk Bitch Trio - Now Would Be a Good Time,,,,,,,,,,,,,,,,36,,,,31,,,49,,,,,,,,,,,,,,,,,,,,,,,38.67,12.88888889,71.24137931,3,0,0
Barry Can't Swim - Loner,,,,,,,,,36,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,21.00,10.5,71.27586207,2,1,0
Emma-Jean Thackray - Weirdo,,,,18,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,10.5,71.27586207,2,0,0
