ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
Julien Baker - Turn Out The Lights,146,singer-songwriter,,,,47,,,,13,,,,,,30,,13,32,,,,18,,,31,,2,,,,,,,,,,,23.25,2.90625,59.66666667,8,1
Stormzy - Gang Signs & Prayer,94,grime,,,11,,14,,,,,35,,37,,43,,,,18,,,,,,4,,,31,,,,,,,,,,24.13,3.015625,59.92592593,8,1
Kelly Lee Owens - Kelly Lee Owens,152,tech house,,,,,25,,2,,,23,,,2,,,,,30,,,33,,,5,,,,,,,,,,,,,17.14,2.448979592,60,7,3
Sheer Mag - Need To Fell Your Love,65,power pop,,22,,6,21,,,,,,,28,,11,,,29,,,,,,14,,,,,,,,,,,,,,18.71,2.673469388,60.40740741,7,1
Jason Isbell & The 400 Unit - The Nashville Sound,64,americana,,21,,12,,27,,,,,,,,,,49,11,,,18,,7,,,,,,,,,,,,,,,20.71,2.959183673,60.92592593,7,1
Japanese Breakfast - Soft Sounds From Another Planet,82,dream pop,,39,,37,,,,,,24,,,,,,17,15,,,50,,,,47,,23,44,,,,,,,,,,32.89,3.654320988,60.96296296,9,0
Lana Del Rey - Lust For Life,69,dream pop,,26,39,,8,,,,,,46,2,50,19,,,,,,,32,,,,,,,,,,,,,,,,27.75,3.46875,61,8,2
Priests - Nothing Feels Natural,130,post-punk,,,,21,,,,,,42,,27,,,,3,,,,,25,44,18,,,,48,,,,,,,,,,28.50,3.5625,61.22222222,8,1
Fleet Foxes - Crack-Up,113,folk,,,41,40,,,,30,41,45,,,,,,,8,,,16,39,,46,,,,,,,,,,,,,,34.00,3.777777778,61.33333333,9,1
Queens of the Stone Age - Villains,21,alternative rock,21,8,9,,35,3,34,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,22.43,3.204081633,61.37037037,7,3
Aldous Harding - Party,1,folk,1,,,,,10,,,,18,,43,4,,,,,,,,,10,,,,,,,,,,,,,,,14.33,2.388888889,61.51851852,6,4
Future - HNDRXX,210,hip hop,,,,,,,,15,,,4,,,12,,,,,,,27,,27,,,,5,,,,,,,,,,15.00,2.5,61.66666667,6,2
(Sandy) Alex G - Rocket,159,indie rock,,,,,40,,,26,,,,30,,20,,21,46,,,,48,,,,,16,,,,,,,,,,,30.88,3.859375,61.92592593,8,0
Drake - More Life,70,hip hop,,27,,,,,,,,,10,19,,7,,,25,,,,38,,49,,,,,,,,,,,,,,25.00,3.571428571,62.03703704,7,2
Laurel Halo - Dust,300,ambient pop,,,,,,,,,,,,,5,,,,,8,31,,46,,,,7,,6,,,,,,,,,,17.17,2.861111111,62.14814815,6,4
The xx - I See You,96,indie pop,,,17,28,46,,,,50,36,,,,,,,37,,,7,40,,,,,,,,,,,,,,,,32.63,4.078125,62.44444444,8,1
Alvvays - Antisocialites,122,indie pop,,,,7,17,,,,,44,,,16,,,31,,,,44,,32,,,,,,,,,,,,,,,27.29,3.897959184,62.62962963,7,1
Jay Som - Everybody Works,72,indie rock,,29,,1,,,,48,,,,,,,,23,,,,,26,21,,,,46,,,,,,,,,,,27.71,3.959183673,62.74074074,7,1
Run The Jewels - Run The Jewels 3,22,hip hop,22,,,4,,,,,,7,,,,,,,,,,33,29,,,,,32,,,,,,,,,,,21.17,3.527777778,63.03703704,6,2
Laura Marling - Semper Femina,114,singer-songwriter,,,42,31,49,25,9,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.14,4.163265306,63.11111111,7,1
Syd - Fin,250,alternative r&b,,,,,,,,,,,11,31,,26,,,,,,41,36,,45,19,,,,,,,,,,,,,29.86,4.265306122,63.2962963,7,0
Mount Kimbie - Love What Survives,241,future garage,,,,,,,,,,11,,34,31,,,,,16,,38,34,,,,,,,,,,,,,,,,27.33,4.555555556,64.40740741,6,0
Phoebe Bridgers - Strangers in the Alps,214,indie folk,,,,,,,,22,,17,,,,,,,17,,,,,,,1,,48,,,,,,,,,,,21.00,4.2,65,5,1
Playboi Carti - Playboi Carti,301,hip hop,,,,,,,,,,,,,7,,,,,,,,35,,36,,9,,25,,,,,,,,,,22.40,4.48,65.25925926,5,2
Ryuichi Sakamoto - async,409,ambient  ,,,,,,,,,,,,,,,,,,10,13,,,,,,13,,1,,,,,,,,,,9.25,2.3125,65.25925926,4,2
Idles - Brutalism,15,post-punk,15,,,,,,37,,,,,22,,,,,,,,25,,,,14,,,,,,,,,,,,,22.60,4.52,65.2962963,5,0
Margo Price - All American Made,29,country,29,16,,,,,,,24,,,,,21,,,,,,23,,,,,,,,,,,,,,,,,22.60,4.52,65.2962963,5,0
Sleaford Mods - English Tapas,28,post-punk,28,,12,,,9,,,32,,,41,,,,,,,,,,,,,,,,,,,,,,,,,24.40,4.88,65.62962963,5,1
Wolf Alice - Visions of a Life,92,indie rock,,,3,,2,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,3.1875,65.77777778,4,3
Open Mike Eagle - Brick Body Kids Still Daydream,77,hip hop,,34,,,,,,,,38,,,,,,,,,,42,49,29,50,,,36,,,,,,,,,,,39.71,5.673469388,65.85185185,7,0
Sylvan Esso - What Now,129,indietronica,,,,19,,,36,,,26,,,,,,,,,,,,23,,32,,,,,,,,,,,,,27.20,5.44,66.14814815,5,0
Kevin Morby - City Music,119,singer-songwriter,,,48,20,22,,,,,,,,,,,,44,,,,,,,7,,,,,,,,,,,,,28.20,5.64,66.33333333,5,1
Spoon - Hot Thoughts,139,indie rock,,,,38,,,,9,45,,,,,,,,,,,29,,,20,,,,,,,,,,,,,,28.20,5.64,66.33333333,5,1
Feist - Pleasure,187,indie rock,,,,,,,7,,,27,,,,,,40,26,,,,,,42,,,,,,,,,,,,,,28.40,5.68,66.37037037,5,1
Kehlani - SweetSexySavage,288,alternative r&b,,,,,,,,,,,,16,,,,,,,,,47,,13,46,,,21,,,,,,,,,,28.60,5.72,66.40740741,5,0
Actress - AZD,280,microhouse,,,,,,,,,,,,32,,,,,,,11,,,,32,,39,,30,,,,,,,,,,28.80,5.76,66.44444444,5,0
Loyle Carner - Yesterday's Gone,150,hip hop,,,,,12,,23,,,,,,,,,,,23,,,,,,12,,,,,,,,,,,,,17.50,4.375,66.48148148,4,0
Zola Jesus - Okovi,191,art pop,,,,,,,17,,,,,,,,,43,,43,,4,41,,,,,,,,,,,,,,,,29.60,5.92,66.59259259,5,1
Kesha - Rainbow,53,pop rock,,4,,,,,,,,,21,,,,,,,,,,,8,,41,,,,,,,,,,,,,18.50,4.625,66.62962963,4,2
Charly Bliss - Guppy,325,indie rock,,,,,,,,,,,,,,46,,7,23,,,,,,,,,4,,,,,,,,,,,20.00,5,66.85185185,4,2
Waxahatchee - Out in the Storm,60,indie rock,,14,,18,,,,,,,,,,,,8,,,,,,41,,,,,,,,,,,,,,,20.25,5.0625,66.88888889,4,1
Charli XCX - Number 1 Angel,251,electropop,,,,,,,,,,,12,29,,38,,,,,,,,,,,4,,,,,,,,,,,,20.75,5.1875,66.96296296,4,1
Khalid - American Teen,54,alternative r&b,,6,,,,,,44,,,47,,,17,,,,,,,,,,50,,,,,,,,,,,,,32.80,6.56,67.18518519,5,1
Grizzly Bear - Painted Ruins,44,indie rock,44,40,,,,,20,,20,,,,41,,,,,,,,,,,,,,,,,,,,,,,,33.00,6.6,67.22222222,5,0
The Weather Station - The Weather Station,226,singer-songwriter,,,,,,,,,4,,,,,,,38,43,,,,,,40,40,,,,,,,,,,,,,33.00,6.6,67.22222222,5,1
Liam Gallagher - As You Were,32,britpop,32,37,15,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.50,5.875,67.37037037,4,1
Brockhampton - Saturation II,219,hip hop,,,,,,,,34,,40,,45,,,,11,,,,,,,,,,39,,,,,,,,,,,33.80,6.76,67.37037037,5,0
Ryan Adams - Prisoner,2,singer-songwriter,2,,,,,,,3,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,10.33,3.444444444,67.81481481,3,2
Beck - Colors,41,alternative dance,41,41,30,,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.40,7.28,67.85185185,5,0
Cigarettes After Sex - Cigarettes After Sex,6,dream pop,6,,21,,,,39,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,27.25,6.8125,67.92592593,4,1
Taylor Swift - Reputation,55,electropop,,7,,,31,,,,,,26,,,,,,,,,,,,48,,,,,,,,,,,,,,28.00,7,68.03703704,4,1
Algiers - The Underside of Power,246,post-punk,,,,,,,,,,43,,,,,24,,,,,11,,,,35,,,,,,,,,,,,,28.25,7.0625,68.07407407,4,0
Oh Sees - Orc,36,psychedelic rock,36,,,22,,24,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75,7.1875,68.14814815,4,0
Visible Cloaks - Reassemblage,296,ambient,,,,,,,,,,,,44,,,45,,,14,,,,,,,,,12,,,,,,,,,,28.75,7.1875,68.14814815,4,0
Gorillaz - Humanz,93,electropop,,,5,,18,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,15.00,5,68.33333333,3,1
Juana Molina - Halo,188,folktronica,,,,,,,10,,17,,,,,,,,,,26,,,,,,,,,,,,,,,,,,17.67,5.888888889,68.62962963,3,1
"Colleen - A Flame My Love, A Frequency",379,ambient pop,,,,,,,,,,,,,,,,,,6,,,,,,,46,,2,,,,,,,,,,18.00,6,68.66666667,3,2
Mhysa - fantasii,431,ambient pop,,,,,,,,,,,,,,,,,,,20,,,,,,10,,24,,,,,,,,,,18.00,6,68.66666667,3,1
Aimee Mann - Mental Illness,128,singer-songwriter,,,,17,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.33,6.111111111,68.7037037,3,0
Sorority Noise - You're Not As ____ As You Think,411,emo,,,,,,,,,,,,,,,,16,33,,,,,,,,,7,,,,,,,,,,,18.67,6.222222222,68.74074074,3,1
Nadine Shah - Holiday Destination,194,indie rock,,,,,,,26,,,,,,,,5,,,,,,,,,28,,,,,,,,,,,,,19.67,6.555555556,68.85185185,3,1
The Moonlandingz - Interplanetary Class Classics,162,neo-psychedelia,,,,,45,11,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,20.00,6.666666667,68.88888889,3,1
Four Tet - New Energy,97,microhouse,,,18,,,,,,36,,,,,,,,,,,9,,,,,,,,,,,,,,,,,21.00,7,69,3,1
Joey Bada$$ - ALL-AMERIKKKAN BADA$$,255,hip hop,,,,,,,,,,,18,,,,,,30,,,,,,,15,,,,,,,,,,,,,21.00,7,69,3,0
Susanne Sundfor - Music for People in Trouble,107,art pop,,,34,,,31,,,30,,,,,,,,,,,,,,,45,,,,,,,,,,,,,35.00,8.75,69.07407407,4,0
Errorsmith - Superlative Fatigue,371,minimal techno,,,,,,,,,,,,,,,49,,,7,,,,,,,,,9,,,,,,,,,,21.67,7.222222222,69.07407407,3,2
Princess Nokia - 1992 Deluxe,156,trap rap,,,,,32,,31,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,23.67,7.888888889,69.2962963,3,1
Protomartyr - Relatives in Descent,161,post-punk,,,,,42,,19,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,23.67,7.888888889,69.2962963,3,1
Joan Shelley - Joan Shelley,106,americana,,,33,,,,,,5,,,,,,,,,,,,,34,,,,,,,,,,,,,,,24.00,8,69.33333333,3,1
Rhiannon Giddens - Freedom Highway,230,folk,,,,,,,,,26,,,,,,,,,,,34,,13,,,,,,,,,,,,,,,24.33,8.111111111,69.37037037,3,0
Kamasi Washington - Harmony of Difference,213,jazz,,,,,,,,21,,,,,,,,,,,,,31,,,25,,,,,,,,,,,,,25.67,8.555555556,69.51851852,3,0
Songhoy Blues - Resistance,74,world,,31,,,,23,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,26.00,8.666666667,69.55555556,3,0
The Big Moon - Love in the 4th Dimension,7,indie rock,7,,,,44,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,9,69.66666667,3,1
Nadia Reid - Preservation,105,singer-songwriter,,,32,,,2,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,9,69.66666667,3,1
Equiknoxx - Colon Man,317,dancehall,,,,,,,,,,,,,30,,,,,38,,,,,,,,,15,,,,,,,,,,27.67,9.222222222,69.74074074,3,0
Klein - Tommy,422,experimental,,,,,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,4.00,2,69.74074074,2,2
Karen Gwyer - Rembo,399,tech house,,,,,,,,,,,,,,,,,,26,40,,,,,,,,19,,,,,,,,,,28.33,9.444444444,69.81481481,3,0
This Is The Kit - Moonshine Freeze,46,indie rock,46,,,26,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.67,9.555555556,69.85185185,3,0
Gas - Narkopop,233,ambient,,,,,,,,,31,,,39,,,,,,,,,,,,,18,,,,,,,,,,,,29.33,9.777777778,69.92592593,3,0
TORRES - Three Futures,337,art pop,,,,,,,,,,,,,,27,,,,,,,,28,,33,,,,,,,,,,,,,29.33,9.777777778,69.92592593,3,0
Randy Newman - Dark Matter,59,singer-songwriter,,13,,,,33,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,29.67,9.888888889,69.96296296,3,0
Alice Coltrane - World Spirituality Classics 1,281,new age,,,,,,,,,,,,8,,,,,,,,,,,7,,,,,,,,,,,,,,7.50,3.75,70,2,2
DJ Python - Dulce Compania,284,deep house,,,,,,,,,,,,11,,,,,,,,,,,,,,,4,,,,,,,,,,7.50,3.75,70,2,1
Phoenix - Ti Amo,111,indie pop,,,38,,43,,,43,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,41.50,10.375,70.03703704,4,0
Binker and Moses - Journey to the Mountain of Forever,166,jazz,,,,,,17,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,9.50,4.75,70.14814815,2,1
V/A - Mono No Aware,295,ambient,,,,,,,,,,,,7,,,,,,,,,,,,,12,,,,,,,,,,,,9.50,4.75,70.14814815,2,1
Girl Ray - Earl Grey,40,indie pop,40,,16,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,10.66666667,70.22222222,3,0
Joshua Abrams & Natural Information Society - Simultonality,227,avant-garde jazz,,,,,,,,,15,,,,,,,,,,7,,,,,,,,,,,,,,,,,,11.00,5.5,70.25925926,2,1
Cloud Nothings - Life Without Sound,209,indie rock,,,,,,,,14,,37,,,,48,,,,,,,,,,,,,,,,,,,,,,,33.00,11,70.33333333,3,0
Chino Amobi - PARADISO,421,electronic,,,,,,,,,,,,,,,,,,,1,,,,,,24,,,,,,,,,,,,12.50,6.25,70.37037037,2,1
Felicia Atkinson - Hand in Hand,426,ambient,,,,,,,,,,,,,,,,,,,14,,,,,,11,,,,,,,,,,,,12.50,6.25,70.37037037,2,0
Lil B - Black Ken,279,hip hop,,,,,,,,,,,50,,,,,,,,45,,43,,,,,,39,,,,,,,,,,44.25,11.0625,70.44444444,4,0
Baxter Dury - Prince of Tears,20,synthpop,20,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,7,70.48148148,2,1
James Holden & The Animal Spirits - The Animal Spirits,340,electronic,,,,,,,,,,,,,,,7,,,22,,,,,,,,,,,,,,,,,,,14.50,7.25,70.51851852,2,1
Lil Uzi Vert - Luv is Rage 2,248,trap rap,,,,,,,,,,,8,,,,,,,,,,,22,,,,,,,,,,,,,,,15.00,7.5,70.55555556,2,1
Charlotte Gainsbourg - Rest,457,art pop,,,,,,,,,,,,,,,,,,,,,17,,,13,,,,,,,,,,,,,15.00,7.5,70.55555556,2,0
Milo - Who Told You To Think??!!?!?!?!,405,experimental hip hop,,,,,,,,,,,,,,,,,18,,,,,,,,14,,,,,,,,,,,,16.00,8,70.62962963,2,0
Call Super - Arpo,345,IDM,,,,,,,,,,,,,,,13,,,20,,,,,,,,,,,,,,,,,,,16.50,8.25,70.66666667,2,0
Diet Cig - Swear I'm Good At This,137,indie pop,,,,35,,,,,,,,,,31,,,,,,,,,,,,43,,,,,,,,,,,36.33,12.11111111,70.7037037,3,0
Peter Perrett - How The West Was Won,169,indie rock,,,,,,22,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,8.5,70.7037037,2,0
MESH - Hesaitix,487,electronic,,,,,,,,,,,,,,,,,,,,,,,,,20,,17,,,,,,,,,,18.50,9.25,70.81481481,2,0
Ifriqiyya Electrique - Ruwahine,350,electronic,,,,,,,,,,,,,,,20,,,,,,,19,,,,,,,,,,,,,,,19.50,9.75,70.88888889,2,0
Yves Tumor - Experiencing the Deposit of Faith,483,ambient,,,,,,,,,,,,,,,,,,,,,,,,,2,,38,,,,,,,,,,20.00,10,70.92592593,2,1
Sparks - Hippopotamus,102,art pop,,,26,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.50,10.25,70.96296296,2,0
Golden Teacher - No Luscious Life,392,dub  ,,,,,,,,,,,,,,,,,,13,28,,,,,,,,,,,,,,,,,,20.50,10.25,70.96296296,2,0
alt-J - Relaxer,117,art pop,,,45,,38,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,13,71,3,0
Foo Fighters - Concrete and Gold,90,alternative rock,,49,,,27,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.33,13.11111111,71.03703704,3,0
Pallbearer - Heartless,212,doom metal,,,,,,,,18,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,21.50,10.75,71.03703704,2,0
GoldLink - At What Cost,263,hip hop,,,,,,,,,,,28,,,15,,,,,,,,,,,,,,,,,,,,,,,21.50,10.75,71.03703704,2,0
Vijay Iyer Sextet - Far From Over,76,jazz,,33,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,22.50,11.25,71.11111111,2,0
Pan Daijing - Lack 惊蛰,423,experimental,,,,,,,,,,,,,,,,,,,8,,,,,,37,,,,,,,,,,,,22.50,11.25,71.11111111,2,1
The Horrors - V,95,neo-psychedelia,,,13,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,11.5,71.14814815,2,0
Hiss Golden Messenger - Hallelujah Anyhow,231,americana,,,,,,,,,27,,,,,,,,20,,,,,,,,,,,,,,,,,,,,23.50,11.75,71.18518519,2,0
MUNA - About U,103,indie pop,,,28,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,24.00,12,71.22222222,2,0
Mura Masa - Mura Masa,157,alternative r&b,,,,,34,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50,12.25,71.25925926,2,0
Shabazz Palaces - Quazarz: Born on a Gangster Star,178,experimental hip hop,,,,,,43,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,24.50,12.25,71.25925926,2,1
Shabazz Palaces - Quazarz vs. The Jealous Machines,179,experimental hip hop,,,,,,43,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,24.50,12.25,71.25925926,2,1
Rapsody - Laila's Wisdom,252,hip hop,,,,,,,,,,,13,,,,,,,,,,,36,,,,,,,,,,,,,,,24.50,12.25,71.25925926,2,0
Harry Styles - Harry Styles,61,pop rock,,17,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,12.5,71.2962963,2,0
Future - Future,253,hip hop,,,,,,,,,,,15,,,35,,,,,,,,,,,,,,,,,,,,,,,25.00,12.5,71.2962963,2,0
Hand Habits - Wildly Idle (Humble Before the Void),18,indie rock,18,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,71.33333333,2,0
Forest Swords - Compassion,99,electronic,,,20,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,71.33333333,2,0
Smino - blkswn,207,alternative r&b,,,,,,,,10,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,71.33333333,2,1
Yaeji - Yaeji,297,deep house,,,,,,,,,,,,,1,,,,,,,,50,,,,,,,,,,,,,,,,25.50,12.75,71.33333333,2,1
Circuit Des Yeux - Reaching For Indigo,326,art pop,,,,,,,,,,,,,,41,,,,,10,,,,,,,,,,,,,,,,,,25.50,12.75,71.33333333,2,1
Valerie June - The Order of Time,67,americana,,24,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,26.00,13,71.37037037,2,0
Converge - The Dusk In Us,381,metalcore,,,,,,,,,,,,,,,,30,,,,,,,,,,22,,,,,,,,,,,26.00,13,71.37037037,2,0
Jana Rush - Pariah,286,footwork,,,,,,,,,,,,47,,,,,,,6,,,,,,,,,,,,,,,,,,26.50,13.25,71.40740741,2,1
Circle - Terminal,349,space rock,,,,,,,,,,,,,,,19,,,,34,,,,,,,,,,,,,,,,,,26.50,13.25,71.40740741,2,0
Young Thug - Beautiful Thugger Girls,472,hip hop,,,,,,,,,,,,,,,,,,,,,,,22,,31,,,,,,,,,,,,26.50,13.25,71.40740741,2,0
Ty Segall - Ty Segall,135,psychedelic rock,,,,32,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,13.5,71.44444444,2,0
Mark Lanegan Band - Gargoyle,167,singer-songwriter,,,,,,18,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,27.00,13.5,71.44444444,2,0
