ALBUM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GDINTV,GVSB,GUARD,HOTPRS,KERNG,LINE,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,WEISS,PASTE,PICC,PFORK,POPMT,QTUS,RS,RTRADE,SLANT,SPTNIK,SGUM,STLISTN,TREBLE,UNCUT,UTR,WHYNW,WIRE,XSNZE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Hania Rani - Ghosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,36.00,36,74.11363636,1,0,0
Lisel - Patterns for Auto-Tuned Voices and Delay,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,74.11363636,1,0,0
Maggot Heart - HUNGER,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,74.11363636,1,0,0
Mark William Lewis - Living,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,74.11363636,1,0,0
Nas - Magic 3,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,74.11363636,1,0,0
Summer Walker - CLEAR 2: SOFT LIFE,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,74.11363636,1,0,0
Supervisjón - Fast Trakk,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,74.11363636,1,0,0
Dream Nails - Doom Loop,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,74.13636364,1,0,0
Jordan Ward - FORWARD,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,74.13636364,1,0,0
Kvelertak - Endling,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,37.00,37,74.13636364,1,0,0
Myst Milano. - Beyond the Uncanny Valley,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,74.13636364,1,0,0
Paul St. Hilaire - Tikiman Vol. 1,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,74.13636364,1,0,0
Polaris - Fatalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,37.00,37,74.13636364,1,0,0
Short Fictions - Oblivion Will Own Me and Death Alone...,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,74.13636364,1,0,0
Voyager - Fearless In Love,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,74.13636364,1,0,0
Anti-God Hand - Blight Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
Cate Brooks - Easel Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
It It Anita - Mouche,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
Jake Shears - Last Man Dancing,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
Joanne Roberston - Blue Car,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
Potter Payper - Real Back in Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,38.00,38,74.15909091,1,0,0
Ta-ku - Songs To Come Home To,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
Tha God Fahim & Mach-Hommy - Notorious Dump Legends: Volume 2,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
Ulrika Spacek - Compact Trauma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,38.00,38,74.15909091,1,0,0
Yeat - AftërLyfe,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
Zach Bryan - Boys of Faith,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,74.15909091,1,0,0
Califone - villagers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,39.00,39,74.18181818,1,0,0
Chappaqua Wrestling - Plus Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Davido - Timeless,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Él Mató A Un Policía Motorizado - Súper Terror,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
jonatan leandoer96 - Sugar World,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Kostnatění - Úpal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,39.00,39,74.18181818,1,0,0
"MIKE, Wiki & The Alchemist - Faith Is a Rock",,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Mutoid Man - Mutants,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Nakhane - Bastard Jargon,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Poppy - Zig,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Rick Ross & Meek Mill - Too Good To Be True,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
The Psychotic Monks - Pink Colour Surgery,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Tisakorean - Let Me Update My Status,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Wiki & Tony Seltzer - 14k Figaro,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74.18181818,1,0,0
Wozniak - Memory Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,39.00,39,74.18181818,1,0,0
Anysia Kym & Jadasea - Pressure Sensitive,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Cut Worms - Cut Worms,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Equipment - Alt.Account,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Gnoomes - Ax Ox,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Harp - Albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Isola - LP1,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Israel Nash - Ozarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,40.00,40,74.20454545,1,0,0
Nas - Magic 2,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Natasha Barrett - Reconfiguring the Landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,40.00,40,74.20454545,1,0,0
Nicole Dollanganger - Married in Mount Airy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,40.00,40,74.20454545,1,0,0
Nuovo Testamento - Love Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Orbit Culture - Descent,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
Sarah Mary Chadwick - Messages To God,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
The Answer - Sundowners,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
The Mary Wallopers - Irish Rock N Roll,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.20454545,1,0,0
AUNTY RAYZOR - Viral Wreckage,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
Baby Queen - Quarter Life Crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,41.00,41,74.22727273,1,0,0
Broken Records - The Dreamless Sleep of the 1990s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,41.00,41,74.22727273,1,0,0
Bruise Control - Useless For Something,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
Dream Sitch - Long Rattle,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
Greg Foat & Gigi Masin - Dolphin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
Invent Animate - Heavener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,41.00,41,74.22727273,1,0,0
KK's Priest - The Sinner Rides Again,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
Mayssa Jallad - Marjaa: The Battle of the Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,41.00,41,74.22727273,1,0,0
sign crushes motorist - Hurting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,41.00,41,74.22727273,1,0,0
Skyzoo & The Other Guys - The Mind of a Saint,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
Sun June - Bad Dream Jaguar,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
The New Pornographers - Continue as a Guest,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
Tom Rasmussen - Body Building,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.22727273,1,0,0
Alice Phoebe Lou - Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,42.00,42,74.25,1,0,0
Arlo Parks - My Soft Machine,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.25,1,0,0
Babau - Flatland Explorations Vol. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,42.00,42,74.25,1,0,0
FIZZ - The Secret to Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,42.00,42,74.25,1,0,0
Jantra - Synthesized Sudan,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.25,1,0,0
John Glacier & SURF GANG - JGSG,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.25,1,0,0
Lloyd Cole - On Pain,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.25,1,0,0
Nicki Minaj - Pink Friday 2,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.25,1,0,0
Origami Angel - The Brightest Days,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.25,1,0,0
Position Normal - Modern and Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,42.00,42,74.25,1,0,0
Rival Sons - LIGHTBRINGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,42.00,42,74.25,1,0,0
Samory-I - Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,42.00,42,74.25,1,0,0
Swans - The Beggar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,42.00,42,74.25,1,0,0
Amy Cutler - Sister Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,43.00,43,74.27272727,1,0,0
Blake Mills - Jelly Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,43.00,43,74.27272727,1,0,0
Eartheater - Powders,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
EP/64-63 - EP/64-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Hawkwind - The Future Never Waits,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Heavy Lungs - All Gas No Brakes,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Hellripper - Warlocks Grim & Withered Hags,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Idris Ackamoor & The Pyramids - Afro Futuristic Dreams,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Kassa Overall - Animals,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
LA Priest - Fase Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,43.00,43,74.27272727,1,0,0
Meet Me @ The Altar - Past // Present // Future,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Megan Moroney - LUCKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Metro Boomin - METRO BOOMIN PRESENTS SPIDER-MAN...,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Niña Tormenta - Las cosas lento,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Nondi_ - Flood City Trax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,43.00,43,74.27272727,1,0,0
Shonen Knife - Our Best Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,43.00,43,74.27272727,1,0,0
Vanishing Twin - Afternoon X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Woods - Perennial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,43.00,43,74.27272727,1,0,0
Belle and Sebastian - Late Developers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
Buzzy Lee - Internal Affairs,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
Colin Stetson - When we were that what wept for the sea,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
Heavenward - Pyrophonics,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
"Ian Hunter - Defiance, Pt. 1",,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
Jenny Lewis - Joy'all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
King Gizzard & The Lizard Wizard - PetroDragonic Apocalypse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,44.00,44,74.29545455,1,0,0
Kira Linn - Illusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,44.00,44,74.29545455,1,0,0
Lil Uzi Vert - Pink Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,44.00,44,74.29545455,1,0,0
"Mo'Ju - ORO, PLATA, MATA",,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
Natural Information Society - Since Time is Gravity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44.00,44,74.29545455,1,0,0
Pearl & The Oysters - Coast 2 Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
Pile - All Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,44.00,44,74.29545455,1,0,0
Andrea - Due In Color,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
Battery Operated Orchestra - Compulsory Games,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
Buck Meek - Haunted Mountain,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
Corey Taylor - CMF2,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
GEZAN - ANOCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,45.00,45,74.31818182,1,0,0
Gia Margaret - Romantic Piano,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
GoGo Penguin - Everything is Going to be Okay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
Natural Wonder Beauty Concept - Natural Wonder Beauty Concept,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
Rauw Alejandro - PLAYA SATURNO,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
Spirit Adrift - Ghost At The Gallows,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
The HIRS Collective - We're Still Here,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.31818182,1,0,0
Ahab - The Coral Tombs,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
BABYMETAL - THE OTHER ONE,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
Conor Miley - Thousand Yard Stare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,46.00,46,74.34090909,1,0,0
deathcrash - Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
Frenzal Rhomb - The Cup of Pestilence,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
JAAW - Supercluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
Jayda G - Guy,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
Kipper Gillespie - Dull Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,46.00,46,74.34090909,1,0,0
Klein - touched by an angel,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
Lil Wayne & 2 Chainz - Welcome 2 Collegrove,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
Rickie Lee Jones - Pieces of Treasure,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
Sweet Gloom - Reverie,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
The Academic - Sitting Pretty,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
Upper Wilds - Jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,46.00,46,74.34090909,1,0,0
79.5 - 79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
"Black Country, New Roads - Live at Bush Hall",,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
Charif Megarbane - Marzipan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,47.00,47,74.36363636,1,0,0
Cian Nugent - She Brings Me Back to the Land of the Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,47.00,47,74.36363636,1,0,0
Duran Duran - DANSE MACABRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,47.00,47,74.36363636,1,0,0
Gridlink - Coronet Juniper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,47.00,47,74.36363636,1,0,0
IVE - I'VE IVE,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
Martin Hayes & The Common Ground Ensemble - Peggy's Dream,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
PONY - Velveteen,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
Portrayal of Guilt - Devil Music,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
Raveloe - Exit Light,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
RXKNephew & Harry Fraud - LIFE AFTER NEPH,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
Shamir - Homo Anxietatem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
Skull Practitioners - Negative Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
soccer Committee - Heart/Lamb,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
The War And Treaty - Lover's Game,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
Waterparks - INTELLECTUAL PROPERTY,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.36363636,1,0,0
Allison Russell - The Returner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,48.00,48,74.38636364,1,0,0
Anna B Savage - in | FLUX,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Avola - Psykor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48.00,48,74.38636364,1,0,0
Burner - It All Returns To Nothing,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Cloth - Secret Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Conway the Machine - WON'T HE DO IT,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Goat - Medicine,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Grrrl Gang - Spunky!,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Half Moon Run - Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,48.00,48,74.38636364,1,0,0
James Ivy - Everything Perfect,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Kate Davis - Fish Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Mace The Great - SplottWorld,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
Mutual Benefit - Growing at the Edges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,48.00,48,74.38636364,1,0,0
PVRIS - EVERGREEN,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.38636364,1,0,0
