cohort_rank,station,slug,action,proposed_summary,editorial_interest,evidence_quality,flag,reason,source_urls
83,WKNC 88.1 FM,wknc,keep_reviewed,"NC State student radio WKNC 88.1 FM combines student-led alternative programming with separate HD-1 and HD-2 schedules for indie and electronic music.",high,high,,Existing reviewed profile; preserve verbatim,https://wknc.org/about/;https://wknc.org/schedule/hd-1/
84,100% ACID JAZZ,100-acid-jazz,improve,"A TorontoCast Radio Suite Network stream devoted to acid jazz, with the available station page identifying a narrow genre channel but providing little evidence of presenters, ownership, or local community.",low,low,low_interest_and_insufficient_info,"The page identifies only a genre stream and network host; no distinctive editorial structure is evident.",https://radiosuitenetwork.torontocast.stream/100-acid-jazz/
85,12XU,12xu,improve,"12XU is a German online station whose public identity points toward punk and underground music, but its available page offers too little verified information about operators, schedule, or community to characterize the service confidently.",medium,low,insufficient_info,"The official-looking homepage is sparse and the supplied copy is a slogan rather than an accountable station description.",http://onetwoxu.de/
86,1LIVE Fiehe,1live-fiehe,improve,"A WDR 1LIVE specialist programme hosted by Klaus Fiehe, known for selecting adventurous electronic, beat-driven, and left-field music within a public-broadcast schedule rather than running as a standalone station.",high,high,,Distinctive presenter-led programme with a clear public-broadcast home and documented musical remit.,https://www1.wdr.de/radio/1live/on-air/sendungen/1live-fiehe/index.html
87,24-7 Psychedelic Rock,24-7-psychedelic-rock,improve,"A 24-7 Niche Radio stream focused on psychedelic rock, offering a tightly defined genre listen but no clear evidence on the public page of presenters, local community, or a broader editorial programme.",low,medium,low_interest,"The service appears to be an automated single-genre stream with little visible human curation.",https://24-7nicheradio.com/audiogallery/24-7-psychedelic/
88,8Ball Radio,8ball-radio,improve,"8-Ball Radio is a New York community-based online station associated with the 8-Ball community, giving local and independent music a platform through a human-facing radio project rather than a generic genre stream.",high,medium,,Community identity is clear; the available station page documents less programming detail than the strongest reviewed profiles.,https://8ballradio.nyc/
89,Amazing Radio,amazing-radio,keep_reviewed,"Amazing Radio is an online station built around discovering new music, pairing a live stream with hosted programmes and an artist-focused listening experience.",high,high,,Existing reviewed profile; preserve verbatim,https://amazingradio.com/about;https://amazingradio.com/schedule;https://amazingradio.com/
90,Ambient Modern,ambient-modern,improve,"Ambient Modern is an internet station centered on contemporary ambient music, offering a focused listening stream whose public description establishes the genre but not a presenter roster, ownership model, or community role.",low,medium,low_interest,"A single-genre service is identifiable, but no stronger editorial distinction is documented.",https://ambientmodern.com/
91,ambient.fm,ambient-fm,improve,"ambient.fm presents ambient music from Nevada through an online stream, with a useful geographic label but limited public evidence about programming, hosts, ownership, or how human selection shapes the channel.",low,low,low_interest_and_insufficient_info,"The homepage establishes location and genre only; the service is difficult to evaluate editorially.",https://ambient.fm/
92,AmbientRadio (MRG.fm),ambientradio-mrg-fm,improve,"AmbientRadio is one of MRG.fm’s genre-oriented online channels, built for continuous ambient listening; the public network page provides little information about presenters, programming decisions, or a distinct community beyond the format label.",low,low,low_interest_and_insufficient_info,"Network directory evidence is too thin to distinguish this channel from an automated genre feed.",https://www.mrg.fm/
93,Anon.FM,anon-fm,improve,"Anon.FM is a Russian noncommercial online project launched in 2009 that invites people to present music, voices, and talents, giving the station a participatory premise beyond its broad and changing programme.",medium,medium,,The supplied station account supports a community model; current schedule and operational details are limited.,https://anon.radio.fm/
94,Avant-Prog/Rock in Opposition/Canterbury Scene/Zeuhl - Radio Caprice,avant-prog-rock-in-opposition-canterbury-scene-zeuhl-radio-caprice,improve,"Radio Caprice’s specialist channel isolates avant-prog, Rock in Opposition, Canterbury, and zeuhl for listeners seeking a narrow art-rock catalogue, but the public page gives little evidence of presenters or a broader editorial institution.",medium,low,low_interest_and_insufficient_info,"Distinctive niche, but the available evidence describes tags and format rather than human programming.",http://radcap.ru/avantprog.html
95,Basspistol Radio,basspistol-radio,improve,"Basspistol Radio is a Swiss online project framed around underground and outernational music, with a deliberately cross-border outlook; its public page supports the concept but gives limited detail on schedule, hosts, and governance.",medium,medium,insufficient_info,"The station has a potentially distinctive remit, yet the accessible evidence is mostly positioning language.",https://basspistol.com/radio
96,bauhaus.fm,bauhaus-fm,improve,"bauhaus.fm is the experimental radio of Bauhaus-Universität Weimar, broadcasting from the university’s 106.6 FM project and connecting student or local creative work with experimental music and cultural programming.",high,high,,University setting and experimental remit provide a clear editorial identity; current schedule detail may change.,https://www.uni-weimar.de/projekte/bauhaus-fm
97,Black Rhino Radio,black-rhino-radio,improve,"Black Rhino Radio is a Romanian online station with an independent music and culture profile, but its accessible homepage offers too little verified detail about ownership, geography beyond Romania, presenters, or the shape of its current schedule.",medium,low,insufficient_info,"The station appears culturally oriented, but the available evidence is not enough for a precise editorial account.",https://blackrhinoradio.com/
98,Cashmere Radio,cashmere-radio,keep_reviewed,"Cashmere Radio is a community experimental radio station based in Lichtenberg, Berlin, broadcasting underground music, talk shows and live performative arts.",high,high,,Existing reviewed station copy is already specific and editorial; preserve its current wording,https://cashmereradio.com/
99,Chill Lounge Florida (USA) 128k mp3,chill-lounge-florida-usa-128k-mp3,improve,"Chill Lounge Florida is an online stream labeled around ambient, chillout, and lounge listening, with the relay URL offering no reliable evidence of presenters, ownership, community, or a distinctive editorial programme.",low,low,low_interest_and_insufficient_info,"The source is a stream endpoint with scraped tags rather than an accountable station page.",https://vip2.fastcast4u.com/proxy/chillfla?mp=/1
100,CJLO 1690AM,cjlo,keep_reviewed,"Concordia University’s volunteer radio station serves Montréal in English and French, combining online broadcasting with a 1690 AM signal and a wide campus-community schedule.",high,high,,Existing reviewed profile; preserve verbatim,https://www.cjlo.com/about;https://www.cjlo.com/schedule
101,Concertzender De Gehoorde Stilte,concertzender-de-gehoorde-stilte,improve,"Concertzender’s De Gehoorde Stilte is a Dutch specialist programme for contemporary and adventurous music, part of a broader listener service whose editorial value comes from curatorial depth rather than a single automated genre loop.",high,medium,,Parent station and programme identity are clear; the page provides less operational detail than a full station profile.,https://www.concertzender.nl/programma_genre/hedendaagse-muziek/
