cohort_rank,station,slug,action,proposed_summary,editorial_interest,evidence_quality,flag,reason,source_urls
"1","KALX 90.7 FM","kalx","keep_reviewed","UC Berkeley’s volunteer station presents student and community-made radio at 90.7 FM, with an eclectic schedule and a history reaching back to the station’s early campus broadcasts.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://kalx.berkeley.edu/about/philosophy/; https://kalx.berkeley.edu/on-the-air/schedule/"
"2","KEXP 90.3 FM","kexp","keep_reviewed","Seattle's nonprofit music service, founded at the University of Washington in 1972, pairs broad, human-curated programming with live sessions and community events.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://kexp.org/about/; https://kexp.org/about/history/"
"3","NEU RADIO","neu-radio","improve","Bologna’s independent online collective blends music broadcasting with cultural aggregation, sending a 24/7 stream from Italy to listeners worldwide. The available public material provides only a limited view of its current programming and editorial identity.","high","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://www.neuradio.it/"
"4","Yammat FM","yammat-fm","improve","Zagreb-based Yammat FM presents live and thematic streams that move through pop, new wave, hip-hop, and other contemporary music selections. The available public material provides only a limited view of its current programming and editorial identity.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://www.yammat.fm/"
"5","HEADY","heady","improve","HEADY.FM is an online, commercial-free music stream focused on underground discoveries, emerging artists, and deep cuts rather than presenter-led local radio. The available public material provides only a limited view of its current programming and editorial identity.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://www.heady.fm/"
"6","FIP Rock","fip-rock","keep_reviewed","FIP Rock is Radio France's focused rock stream, combining new releases with established records and a channel identity that runs from classic to contemporary.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://www.radiofrance.fr/fip/radio-rock"
"7","Super45.fm","super45-fm","improve","Santiago’s Super45.fm is an independent online music outlet built around contemporary discovery and a wide-ranging stream from Chile to the world. The available public material provides only a limited view of its current programming and editorial identity.","medium","low","","Available evidence is too sparse to judge the station’s editorial identity confidently.","https://super45.fm/"
"8","FIP","fip-main","keep_reviewed","Radio France's FIP is a national music service built around an eclectic, presenter-led flow spanning jazz, rock, pop, groove, world music, reggae and more.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://www.radiofrance.fr/fip"
"9","KVSC 88.1 FM","kvsc","improve","St. Cloud State University’s KVSC is a student and community station whose alternative-music identity is carried through a local FM service and online stream. The available public material provides only a limited view of its current programming and editorial identity.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://www.kvsc.org"
"10","WXYC 89.3 FM","wxyc","keep_reviewed","UNC-Chapel Hill’s WXYC 89.3 FM is a 24-hour student-run freeform station with a broad local signal, online archive, and strong support for independent music.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://wxyc.org/about; https://wxyc.org/archive"
"11","Radyo A (Radyo Anadolu Üniversitesi)","radyo-a-radyo-anadolu-niversitesi","improve","Anadolu University’s Radyo A is a campus radio service from Türkiye, with available listings pointing to blues, folk, and pop-rock programming. The available public material provides only a limited view of its current programming and editorial identity.","medium","low","","Available evidence is too sparse to judge the station’s editorial identity confidently.","http://www.radyoa.anadolu.edu.tr/"
"12","WPKN 89.5 FM","wpkn","keep_reviewed","WPKN is a listener-supported Bridgeport community station with a volunteer-led schedule spanning music, news, public affairs, and local conversation.","high","medium","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://wpkn.org"
"13","KXLU 88.9 FM","kxlu","keep_reviewed","KXLU 88.9 FM is Los Angeles’s Loyola Marymount University radio station, with a volunteer and student-facing schedule that ranges across specialty music programs.","high","high","","Existing reviewed profile or strong curated summary; preserve verbatim.","https://kxlu.com/about/; https://kxlu.com/schedule/"
"14","Candelight","candelight","improve","Candlelight is a Dutch online station centered on love songs and pop classics, offering a narrowly themed listening stream rather than a documented local radio service.","low","low","","The available service appears generic or redundant and lacks enough reliable detail for stronger evaluation.","http://www.candlelight.nl/"
"15","Le Bon Mix Radio 97.9","le-bon-mix-radio-97-9","improve","France’s Le Bon Mix operates several ad-free online channels, combining funk, jazz, disco, electro, pop, soul, world, reggae, and rock in curated genre blends. The available public material provides only a limited view of its current programming and editorial identity.","medium","medium","","Current copy is a slogan, scrape fragment, or insufficiently specific description.","https://www.lebonmix.radio/"
