cohort_rank,standard_crossing_rank,station,slug,standard_score_7d,exact_crossings_7d,artist_crossings_7d,description,country,organization,homepage,inclusion_reason,crossing_status
42,42,Ambiento,ambiento,0.156045,0,1,Muzica ambientala - lounge - chillout | Ambiento Radio,Romania,,https://ambientoradio.com/,experimental crossing top 80; scrape-only experimental set,scored
43,43,Polushon,polushon,0.154063,1,0,Polushon Radio,Sweden,,http://polushon.com/,experimental crossing top 80; scrape-only experimental set,scored
44,44,Radio FM,radio-fm,0.154063,0,1,Slovenská televízia a rozhlas,Slovakia,,https://fm.rtvs.sk/,experimental crossing top 80,scored
45,45,"WBEZ-HD2 ""Vocalo Stream"" Chicago, IL",wbez-hd2-vocalo-stream-chicago-il,0.148921,0,1,Vocalo Radio 91.1FM Chicago's Urban Alternative + NPR Music - Vocalo Radio 91.1FM Chicago's Urban Alternative + NPR Music,US,,http://vocalo.org/,experimental crossing top 80,scored
46,46,181.FM - Chilled Out (USA) 128k mp3,181-fm-chilled-out-usa-128k-mp3,0.148745,1,0,Chilled Out Webplayer,The United States Of America,,http://player.181fm.com/?station=181-chilled,experimental crossing top 80,scored
47,47,Laut.FM Synthesizer Greatest,laut-fm-synthesizer-greatest,0.148745,1,0,"Scraped tags: ambient, electronic.",Germany,,http://www.laut.fm/synthesizergreatest,experimental crossing top 80; scrape-only experimental set,scored
48,48,FIP Jazz,fip-jazz,0.147562,0,1,Tout l,FR,Radio France,https://www.radiofrance.fr/fip,experimental crossing top 80,scored
49,49,SomaFM — CliqHop IDM,somafm-cliqhop,0.145498,0,4,Blips,US,SomaFM,https://somafm.com/cliqhop/,experimental crossing top 80; scrape-only experimental set,scored
50,50,Culture Failure,culture-failure,0.145247,0,8,"Scraped tags: ambient, electronic, minimal, noise.",The United States Of America,,https://culturefailure.com/,experimental crossing top 80; scrape-only experimental set,scored
51,51,Path through the Forest,path-through-the-forest,0.142884,0,2,"Scraped tags: alternative, avant-garde, experimental, indie, industrial, noise, psychedelic, punk, rock, stoner.",Germany,,http://laut.fm/path_through_the_forest,experimental crossing top 80; scrape-only experimental set,scored
52,52,Heavy Music Atmospheric Radio,heavy-music-atmospheric-radio,0.142030,1,1,We deliver purest atmospheric selections of Progressive and Post rock music. Stay tuned!,The Russian Federation,,https://www.heavy-music.net/,experimental crossing top 80; scrape-only experimental set,scored
53,53,Lolli Radio Happy Station,lolli-radio-happy-station,0.139389,0,3,DA 20 ANNI LE RADIO DIGITALI ITALIANE PIU’ ASCOLTATE scegli la tua radio APRI IL PLAYER POP-UP QUI lolliradio happy play_arrow lolliradio italia play_arrow lolliradio soft play_arrow lolliradio dance play_arrow lolliradio hits play_arrow lolliradio oldies play_arrow adoro classic,Italy,,http://www.lolliradio.net/,experimental crossing top 80,scored
54,54,Championshipvinyl,championshipvinyl,0.138630,1,0,"Scraped tags: acoustic, folk, indie, indie folk.",Germany,,https://laut.fm/championshipvinyl,experimental crossing top 80,scored
55,55,Radio Mela,radio-mela,0.138234,0,1,Musica anni 80 90 - Vintage Radio Streaming,Italy,,http://www.radiomela.it/,experimental crossing top 80,scored
56,56,FIP Electro,fip-electro,0.137204,0,1,Tout l,FR,Radio France,https://www.radiofrance.fr/fip,experimental crossing top 80,scored
57,57,6forty Radio,6forty-radio,0.000000,0,0,"Scraped tags: deep indie, modern classical, post-metal, post-rock, shoegaze.",The United States Of America,,http://www.6fortyradio.com/,experimental crossing top 80; scrape-only experimental set,scored
58,58,aNONradio,anonradio,0.000000,0,0,// aNONradio // – [LIVE]: News to Me with mnw,The United States Of America,,http://anonradio.net/,scrape-only experimental set,scored
59,59,Art Of Music,art-of-music,0.000000,0,0,"Web Radio | Elegant. Sophisticated. Exclusive. | We play Soulful, House Music, Disco Classics, Soul, Rare Groove, Funk and Nu-Jazz with the best Music Designers and DJs worldwide.",Italy,,https://artofmusic.fm/,experimental crossing top 80,scored
60,60,ByteFM,bytefm-192k,0.000000,0,0,ByteFM ist ein moderiertes Online-Radio mit Interviews und Hintergrundinformationen. Unser Internetradio ist ausgezeichnet mit dem Grimme Online Award.,DE,ByteFM,https://www.byte.fm/,experimental crossing top 80,scored
61,61,CKUA Radio,ckua,0.000000,0,0,CKUA is only here because listeners choose to donate. You can shape CKUA's future and make it strong. Be the difference. Donate now.,CA,CKUA Radio Network,https://ckua.com,experimental crossing top 80,scored
62,62,dinamo.fm smog,dinamo-fm-smog,0.000000,0,0,"Scraped tags: deep, dub, electronica, idm.",Türkiye,,http://www.dinamo.fm/,scrape-only experimental set,scored
63,63,East Tennessee's Own WDVX 89.9 FM,east-tennessee-s-own-wdvx-89-9-fm,0.000000,0,0,East Tennessee's Own WDVX — Listener Supported Community Radio,,,https://wdvx.com/,experimental crossing top 80,scored
64,64,Experimental/Avant-garde music - Radio Caprice,experimental-avant-garde-music-radio-caprice,0.000000,0,0,"Scraped tags: avant-garde, experimental.",,,http://radcap.ru/playback-history/4/experimental-ph.php,experimental crossing top 80; scrape-only experimental set,scored
65,65,FIP Reggae,fip-reggae,0.000000,0,0,Tout l,FR,Radio France,https://www.radiofrance.fr/fip,experimental crossing top 80,scored
66,66,Fluid Radio,fluid-radio,0.000000,0,0,Fluid Radio - Experimental Frequencies,,,http://www.fluid-radio.co.uk/,experimental crossing top 80; scrape-only experimental set,scored
67,67,JAMM FM,jamm-fm,0.000000,0,0,JammFM 104.9 – Smooth & Funky – Alles voor Ouder Amstel,The Netherlands,,http://www.jammfm.nl/,experimental crossing top 80,scored
68,68,Jazzloft,jazzloft,0.000000,0,0,"Scraped tags: jazz, lounge, smooth, soul, world, world music.",Germany,,http://stream.laut.fm/jazzloft,experimental crossing top 80,scored
69,69,KAOS 89.3 FM,kaos,0.000000,0,0,"A broadcast service of the Evergreen State College, Olympia, WA",US,The Evergreen State College,https://spinitron.com/KAOS/,experimental crossing top 80,scored
70,70,KCSM 91.1 FM,kcsm,0.000000,0,0,KCSM Jazz 91.1 is both an educational and public radio station located at College of San Mateo in the San Francisco Bay Area.,US,College of San Mateo,https://kcsm.org,experimental crossing top 80,scored
71,71,KDUR 91.9 FM,kdur,0.000000,0,0,"Trusted by over 300 non-commercial stations, Spinitron supports playlist logging, reporting, web publishing, automation, push and much more.",US,Fort Lewis College,https://spinitron.com/KDUR/,experimental crossing top 80,scored
72,72,KDVS 90.3 FM,kdvs,0.000000,0,0,KDVS Show Schedule - See upcoming and past shows aired live from KDVS,US,UC Davis,https://kdvs.org/programming,experimental crossing top 80,scored
73,73,KFAI 90.3 FM,kfai,0.000000,0,0,"KFAI is a volunteer-based community radio station that exists to broadcast information, arts and entertainment programming for an audience of diverse racial, social and economic backgrounds.",US,KFAI Fresh Air Community Radio,https://spinitron.com/KFAI/,experimental crossing top 80,scored
74,74,KSJS 90.5 FM,ksjs,0.000000,0,0,We have been introducing San Jose to new music for 60 years! San Jose State Radio comes alive 24/7; student run and operated. Live streaming on our website ksjs.org/listen or over-air on 90.5 FM!,US,San Jose State University,https://spinitron.com/KSJS/,experimental crossing top 80,scored
75,75,KTUH 90.3 FM,ktuh,0.000000,0,0,"KTUH is a non-commercial, student-run, listener-supported station in Honolulu, Hawaii. It was Hawaii's first non-commercial FM station, and signed on the air July 7, 1969. Programming originates at the University of Hawaii at Manoa.",US,University of Hawaii,https://spinitron.com/KTUH/,experimental crossing top 80,scored
76,76,KUCR 88.3 FM,kucr,0.000000,0,0,"Trusted by over 300 non-commercial stations, Spinitron supports playlist logging, reporting, web publishing, automation, push and much more.",US,UC Riverside,https://spinitron.com/KUCR/,experimental crossing top 80; Bro Zone,scored
77,77,KZSC 88.1 FM,kzsc,0.000000,0,0,College radio beaming from the redwood trees to the seas. kzsc.org,US,UC Santa Cruz,https://spinitron.com/KZSC/,experimental crossing top 80,scored
78,78,SomaFM CliqHop IDM (256k MP3),somafm-cliqhop-idm-256k-mp3,0.000000,0,0,Blips,The United States Of America,,https://somafm.com/cliqhop/,experimental crossing top 80; scrape-only experimental set,scored
79,79,SomaFM DEF CON Radio (128k AAC),somafm-def-con-radio-128k-aac,0.000000,0,0,Music for Hacking. The DEF CON Year-Round Channel.,The United States Of America,,https://somafm.com/defcon/,scrape-only experimental set,scored
80,80,SomaFM SF 10-33 (128k MP3),somafm-sf-10-33-128k-mp3,0.000000,0,0,Ambient music mixed with the sounds of San Francisco public safety radio traffic.,The United States Of America,,https://somafm.com/sf1033/,experimental crossing top 80; scrape-only experimental set,scored
81,81,SomaFM — Sonic Universe,somafm-sonicuniverse,0.000000,0,0,"Transcending the world of jazz with eclectic, avant-garde takes on tradition.",US,SomaFM,https://somafm.com/sonicuniverse/,scrape-only experimental set,scored
82,82,Systrum Sistum - SSR2,systrum-sistum-ssr2,0.000000,0,0,Ambient Radio | Radio Electronica,Australia,,https://www.systrum.net/,experimental crossing top 80; scrape-only experimental set,scored
