name,slug,org,country,homepage_url,tags,homepage_blurb,genre_profile,recent_profile,station_class,source,automation_class,favorite
Artist Frequency ce48e653,artist-frequency-ce48e653,,,,,,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:28:47.040Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,curated,,f
Avant-Prog/Rock in Opposition/Canterbury Scene/Zeuhl - Radio Caprice,avant-prog-rock-in-opposition-canterbury-scene-zeuhl-radio-caprice,,,http://radcap.ru/avantprog.html,"[""avant-garde"", ""zeuhl""]",,"{""top"": [{""count"": 354, ""genre"": ""rock""}, {""count"": 301, ""genre"": ""progressive rock""}, {""count"": 149, ""genre"": ""jazz""}, {""count"": 121, ""genre"": ""avant-garde""}, {""count"": 106, ""genre"": ""experimental""}, {""count"": 99, ""genre"": ""art rock""}, {""count"": 74, ""genre"": ""jazz rock""}, {""count"": 70, ""genre"": ""psychedelic rock""}], ""totalCount"": 4694, ""unknownCount"": 4210}","{""top"": [{""count"": 354, ""genre"": ""rock""}, {""count"": 301, ""genre"": ""progressive rock""}, {""count"": 149, ""genre"": ""jazz""}, {""count"": 121, ""genre"": ""avant-garde""}, {""count"": 106, ""genre"": ""experimental""}, {""count"": 99, ""genre"": ""art rock""}, {""count"": 74, ""genre"": ""jazz rock""}, {""count"": 70, ""genre"": ""psychedelic rock""}], ""updatedAt"": ""2026-09-16T19:18:28.456Z"", ""sampleSize"": 7720, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T19:18:10.757Z"", ""excludedCount"": 19, ""genreCoverage"": 0.10333048676345004, ""readinessTier"": ""ready"", ""resolvedCount"": 4684, ""resolutionRate"": 0.6067357512953367, ""datedTrackCount"": 4536, ""genreTaggedCount"": 484, ""uniqueTrackCount"": 2753, ""uniqueArtistCount"": 369, ""unknownGenreCount"": 4200, ""datedTrackCoverage"": 0.968403074295474}",curated,radio_browser,,f
"BANDA 93.3 (Monterrey) - 93.3 FM - XHQQ-FM - Grupo Radio Centro - Monterrey, NL",banda-93-3-monterrey-93-3-fm-xhqq-fm-grupo-radio-centro-monterrey-nl,,Mexico,http://www.banda933.com.mx/,"[""93.3"", ""93.3 fm"", ""americana"", ""banda"", ""banda norteña"", ""banda tradicional"", ""estación"", ""fm"", ""grupera"", ""grupero"", ""grupo radio centro"", ""mex"", ""mexican music"", ""mexico"", ""monterrey"", ""music"", ""musica"", ""musica latina"", ""musica latinoamericana"", ""musica mexicana"", ""musica regional"", ""musica regional mexicana"", ""musica tradicional mexicana"", ""mx"", ""méxico"", ""música"", ""música en español"", ""música popular mexicana"", ""música regional"", ""nuevo leon"", ""nuevo león"", ""radio"", ""regional"", ""regional mexican"", ""regional mexicana"", ""regional radio"", ""traditional mexican music""]",Banda 93.3 FM - Monterrey México,"{""top"": [{""count"": 3, ""genre"": ""latin""}, {""count"": 2, ""genre"": ""country""}, {""count"": 2, ""genre"": ""reggaeton""}, {""count"": 2, ""genre"": ""tejano""}, {""count"": 1, ""genre"": ""latin pop""}, {""count"": 1, ""genre"": ""pop""}, {""count"": 1, ""genre"": ""regional mexicano""}, {""count"": 1, ""genre"": ""sierreño""}], ""totalCount"": 367, ""unknownCount"": 359}","{""top"": [{""count"": 3, ""genre"": ""latin""}, {""count"": 2, ""genre"": ""country""}, {""count"": 2, ""genre"": ""reggaeton""}, {""count"": 2, ""genre"": ""tejano""}, {""count"": 1, ""genre"": ""latin pop""}, {""count"": 1, ""genre"": ""pop""}, {""count"": 1, ""genre"": ""regional mexicano""}, {""count"": 1, ""genre"": ""sierreño""}], ""updatedAt"": ""2026-09-16T19:28:47.615Z"", ""sampleSize"": 1625, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:34:14.763Z"", ""excludedCount"": 0, ""genreCoverage"": 0.021798365122615803, ""readinessTier"": ""provisional"", ""resolvedCount"": 367, ""resolutionRate"": 0.22584615384615384, ""datedTrackCount"": 302, ""genreTaggedCount"": 8, ""uniqueTrackCount"": 242, ""uniqueArtistCount"": 152, ""unknownGenreCount"": 359, ""datedTrackCoverage"": 0.8228882833787466}",curated,radio_browser,,f
BBC 6 Music,bbc-6music,BBC,GB,https://www.bbc.co.uk/6music,"[""anchor""]",Listen live to Radio 6 Music on BBC Sounds,"{""top"": [{""count"": 152, ""genre"": ""rock""}, {""count"": 107, ""genre"": ""electronic""}, {""count"": 81, ""genre"": ""indie rock""}, {""count"": 73, ""genre"": ""alternative rock""}, {""count"": 65, ""genre"": ""pop""}, {""count"": 29, ""genre"": ""hip hop""}, {""count"": 26, ""genre"": ""soul""}, {""count"": 24, ""genre"": ""dance""}], ""totalCount"": 3109, ""unknownCount"": 2722}","{""top"": [{""count"": 152, ""genre"": ""rock""}, {""count"": 107, ""genre"": ""electronic""}, {""count"": 81, ""genre"": ""indie rock""}, {""count"": 73, ""genre"": ""alternative rock""}, {""count"": 65, ""genre"": ""pop""}, {""count"": 29, ""genre"": ""hip hop""}, {""count"": 26, ""genre"": ""soul""}, {""count"": 24, ""genre"": ""dance""}], ""updatedAt"": ""2026-09-16T19:09:40.661Z"", ""sampleSize"": 5235, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:28:11.121Z"", ""excludedCount"": 5, ""genreCoverage"": 0.12459755312298777, ""readinessTier"": ""ready"", ""resolvedCount"": 3106, ""resolutionRate"": 0.5933142311365807, ""datedTrackCount"": 2804, ""genreTaggedCount"": 387, ""uniqueTrackCount"": 2319, ""uniqueArtistCount"": 1695, ""unknownGenreCount"": 2719, ""datedTrackCoverage"": 0.9027688345138442}",community,curated,human,f
BR Heimat,br-heimat,,Germany,https://www.br.de/radio/br-heimat/index.html,"[""folk""]","""BR Heimat"" ist der digitale Radiosender des Bayerischen Rundfunks und sendet täglich rund um die Uhr Volksmusik, Blasmusik und Geschichten zu bayerischen Belangen. Hier sehen Sie auch, wie Sie uns empfangen können. Schalten Sie ein!",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:13:22.863Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
Balamii,balamii,Balamii,GB,https://balamii.com,"[""indie""]",London to the World,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:24:47.858Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,,f
Ballando Web Radio,ballando-web-radio,,Italy,http://www.ballando.eu/,"[""folk"", ""folk music"", ""local music"", ""segrate""]",,"{""top"": [], ""totalCount"": 170, ""unknownCount"": 170}","{""top"": [], ""updatedAt"": ""2026-09-16T19:24:33.760Z"", ""sampleSize"": 7919, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:31:50.814Z"", ""excludedCount"": 791, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 162, ""resolutionRate"": 0.020457128425306226, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 1, ""uniqueArtistCount"": 1, ""unknownGenreCount"": 162, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
Basspistol Radio,basspistol-radio,,Switzerland,https://basspistol.com/radio,"[""dance"", ""electronic"", ""experimental"", ""hiphop"", ""indie""]","Outernational Music Syndicate. The underground is dead, long live the underground!",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:15:28.756Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
Black Rhino Radio,black-rhino-radio,,Romania,https://blackrhinoradio.com/,"[""ambient"", ""electronic"", ""experimental"", ""hip-hop"", ""house"", ""indie"", ""jazz"", ""reggae"", ""soul"", ""techno""]",Black Rhino Radio,"{""top"": [], ""totalCount"": 9, ""unknownCount"": 9}","{""top"": [], ""updatedAt"": ""2026-09-16T19:15:51.556Z"", ""sampleSize"": 84, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:00:06.555Z"", ""excludedCount"": 279, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
Blasmusikradio mit Bernd,blasmusikradio-mit-bernd,,Germany,https://laut.fm/blasmusikradio_mit_bernd,"[""blasmusik"", ""folk"", ""marsch"", ""polka""]",,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:13:22.358Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
Blend Aged Station 41cdebf5,tc-blend-aged-station-41cdebf5,,,,,,"{""top"": [], ""totalCount"": 1, ""unknownCount"": 1}","{""top"": [], ""updatedAt"": ""2026-09-16T19:28:17.770Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,,f
Blend Test Station 41cdebf5,tc-blend-station-41cdebf5,,,,,,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:28:17.656Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,,f
Blu Radio (Medellín) 97.9 FM,blu-radio-medell-n-97-9-fm,,Colombia,https://www.bluradio.com/,"[""business news"", ""cultural news"", ""economic news"", ""local news"", ""news talk music"", ""sports news"", ""talk"", ""world"", ""world news""]","Encuentre en BLU Radio las noticias de Colombia y el mundo sobre deportes, actualidad, tecnología, política, fútbol y escuche la radio online de BLU Radio.",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:21:04.356Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
Boxout FM,boxout-fm,Boxout FM,IN,https://boxout.fm/,"[""electronic"", ""hip-hop"", ""specialist"", ""world""]",boxout.fm is your gateway to India,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:29:28.975Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,human,t
ByteFM,bytefm-192k,ByteFM,DE,https://www.byte.fm/,"[""anchor"", ""indie"", ""pop"", ""rock"", ""world"", ""world music""]",ByteFM ist ein moderiertes Online-Radio mit Interviews und Hintergrundinformationen. Unser Internetradio ist ausgezeichnet mit dem Grimme Online Award.,"{""top"": [{""count"": 21, ""genre"": ""rock""}, {""count"": 9, ""genre"": ""indie rock""}, {""count"": 7, ""genre"": ""classic rock""}, {""count"": 7, ""genre"": ""electronic""}, {""count"": 7, ""genre"": ""pop""}, {""count"": 6, ""genre"": ""alternative rock""}, {""count"": 5, ""genre"": ""folk rock""}, {""count"": 4, ""genre"": ""hard rock""}], ""totalCount"": 431, ""unknownCount"": 388}","{""top"": [{""count"": 21, ""genre"": ""rock""}, {""count"": 9, ""genre"": ""indie rock""}, {""count"": 7, ""genre"": ""classic rock""}, {""count"": 7, ""genre"": ""electronic""}, {""count"": 7, ""genre"": ""pop""}, {""count"": 6, ""genre"": ""alternative rock""}, {""count"": 5, ""genre"": ""folk rock""}, {""count"": 4, ""genre"": ""hard rock""}], ""updatedAt"": ""2026-09-16T19:18:51.263Z"", ""sampleSize"": 988, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T19:16:16.965Z"", ""excludedCount"": 17, ""genreCoverage"": 0.09976798143851508, ""readinessTier"": ""ready"", ""resolvedCount"": 431, ""resolutionRate"": 0.43623481781376516, ""datedTrackCount"": 406, ""genreTaggedCount"": 43, ""uniqueTrackCount"": 341, ""uniqueArtistCount"": 300, ""unknownGenreCount"": 388, ""datedTrackCoverage"": 0.9419953596287703}",community,curated,,f
CBC Music Eastern (Toronto) MP3 Stream,cbc-music-eastern-toronto-mp3-stream,,Canada,https://www.cbc.ca/music,"[""blues"", ""classical"", ""eclectic"", ""folk"", ""jazz""]",CBC Music,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:29:04.959Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
CFUV 101.9 FM,cfuv,University of Victoria,CA,https://cfuv.uvic.ca,"[""college""]",CFUV: 40 Years of Offbeat Radio,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:27:10.561Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,human,t
CHUO 89.1 FM,chuo,University of Ottawa,CA,https://www.chuo.fm,"[""college""]",Under construction - Awesome site in the making!,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:28:33.570Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,human,f
CJLO 1690AM,cjlo,Concordia University,CA,https://www.cjlo.com/,"[""college"", ""community"", ""indie""]",CJLO 1690AM,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:30:56.990Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,human,t
CJSF 90.1 FM,cjsf,Simon Fraser University,CA,https://www.cjsf.ca,"[""college""]",CJSF 90.1FM Radio | Diverse - Independent - Yours,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:28:33.367Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,human,f
CJSR 88.5 FM,cjsr,University of Alberta,CA,https://www.cjsr.com,"[""college""]","Edmonton&#039;s listener-supported, volunteer-powered community radio","{""top"": [{""count"": 39, ""genre"": ""rock""}, {""count"": 26, ""genre"": ""electronic""}, {""count"": 16, ""genre"": ""indie rock""}, {""count"": 15, ""genre"": ""experimental""}, {""count"": 13, ""genre"": ""ambient""}, {""count"": 10, ""genre"": ""shoegaze""}, {""count"": 9, ""genre"": ""punk""}, {""count"": 8, ""genre"": ""funk""}], ""totalCount"": 1075, ""unknownCount"": 966}","{""top"": [{""count"": 39, ""genre"": ""rock""}, {""count"": 26, ""genre"": ""electronic""}, {""count"": 16, ""genre"": ""indie rock""}, {""count"": 15, ""genre"": ""experimental""}, {""count"": 13, ""genre"": ""ambient""}, {""count"": 10, ""genre"": ""shoegaze""}, {""count"": 9, ""genre"": ""punk""}, {""count"": 8, ""genre"": ""funk""}], ""updatedAt"": ""2026-09-16T19:27:08.757Z"", ""sampleSize"": 2985, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T19:08:35.906Z"", ""excludedCount"": 488, ""genreCoverage"": 0.1015843429636533, ""readinessTier"": ""ready"", ""resolvedCount"": 1073, ""resolutionRate"": 0.359463986599665, ""datedTrackCount"": 1020, ""genreTaggedCount"": 109, ""uniqueTrackCount"": 822, ""uniqueArtistCount"": 667, ""unknownGenreCount"": 964, ""datedTrackCoverage"": 0.9506057781919851}",community,curated,human,t
CKUA Radio,ckua,CKUA Radio Network,CA,https://ckua.com,"[""public""]",CKUA is only here because listeners choose to donate. You can shape CKUA&#039;s future and make it strong. Be the difference. Donate now.,"{""top"": [{""count"": 31, ""genre"": ""rock""}, {""count"": 27, ""genre"": ""jazz""}, {""count"": 21, ""genre"": ""pop""}, {""count"": 20, ""genre"": ""country""}, {""count"": 18, ""genre"": ""folk""}, {""count"": 15, ""genre"": ""blues""}, {""count"": 11, ""genre"": ""contemporary jazz""}, {""count"": 11, ""genre"": ""folk rock""}], ""totalCount"": 1300, ""unknownCount"": 1187}","{""top"": [{""count"": 31, ""genre"": ""rock""}, {""count"": 27, ""genre"": ""jazz""}, {""count"": 21, ""genre"": ""pop""}, {""count"": 20, ""genre"": ""country""}, {""count"": 18, ""genre"": ""folk""}, {""count"": 15, ""genre"": ""blues""}, {""count"": 11, ""genre"": ""contemporary jazz""}, {""count"": 11, ""genre"": ""folk rock""}], ""updatedAt"": ""2026-09-16T19:28:32.465Z"", ""sampleSize"": 2805, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T19:25:29.161Z"", ""excludedCount"": 289, ""genreCoverage"": 0.10521415270018622, ""readinessTier"": ""ready"", ""resolvedCount"": 1074, ""resolutionRate"": 0.38288770053475935, ""datedTrackCount"": 978, ""genreTaggedCount"": 113, ""uniqueTrackCount"": 938, ""uniqueArtistCount"": 781, ""unknownGenreCount"": 961, ""datedTrackCoverage"": 0.9106145251396648}",community,curated,human,f
CKUT 90.3 FM,ckut,McGill University,CA,https://ckut.ca,"[""college""]",,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:27:07.658Z"", ""sampleSize"": 3, ""windowDays"": 90, ""latestSpinAt"": ""2026-07-31T05:35:56.516Z"", ""excludedCount"": 4, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,human,t
COOLFM World Music,coolfm-world-music,,Hungary,https://coolfm.hu/radio/digitalis-radiok/,"[""world"", ""world music""]","A legtöbb tematikus online rádió több stílusban és tempóban és választható tematikus rádiók - COOLFM.hu! Pop, Dance, Country, Rap, Latin, Trance, stb.","{""top"": [{""count"": 132, ""genre"": ""folk""}, {""count"": 64, ""genre"": ""celtic""}, {""count"": 51, ""genre"": ""pop""}, {""count"": 50, ""genre"": ""latin""}, {""count"": 45, ""genre"": ""electronic""}, {""count"": 41, ""genre"": ""reggae""}, {""count"": 38, ""genre"": ""jazz""}, {""count"": 24, ""genre"": ""ska""}], ""totalCount"": 2386, ""unknownCount"": 2056}","{""top"": [{""count"": 132, ""genre"": ""folk""}, {""count"": 64, ""genre"": ""celtic""}, {""count"": 51, ""genre"": ""pop""}, {""count"": 50, ""genre"": ""latin""}, {""count"": 45, ""genre"": ""electronic""}, {""count"": 41, ""genre"": ""reggae""}, {""count"": 38, ""genre"": ""jazz""}, {""count"": 24, ""genre"": ""ska""}], ""updatedAt"": ""2026-09-16T19:21:21.257Z"", ""sampleSize"": 4951, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T19:18:53.772Z"", ""excludedCount"": 12, ""genreCoverage"": 0.1385972280554389, ""readinessTier"": ""ready"", ""resolvedCount"": 2381, ""resolutionRate"": 0.4809129468794183, ""datedTrackCount"": 2139, ""genreTaggedCount"": 330, ""uniqueTrackCount"": 216, ""uniqueArtistCount"": 124, ""unknownGenreCount"": 2051, ""datedTrackCoverage"": 0.8983620327593448}",curated,radio_browser,,f
Canal Breizh,canal-breizh,,France,https://www.canalbreizh.bzh/,"[""breton"", ""folk""]",Webradio de musique bretonne,"{""top"": [], ""totalCount"": 86, ""unknownCount"": 86}","{""top"": [], ""updatedAt"": ""2026-09-16T19:14:46.756Z"", ""sampleSize"": 5564, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:31:43.979Z"", ""excludedCount"": 16, ""genreCoverage"": 0, ""readinessTier"": ""provisional"", ""resolvedCount"": 82, ""resolutionRate"": 0.014737598849748382, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 51, ""uniqueArtistCount"": 42, ""unknownGenreCount"": 82, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
Candelight,candelight,,The Netherlands,http://www.candlelight.nl/,"[""ambient"", ""ambient and relaxation music""]",Love Songs & Pop Classics,"{""top"": [{""count"": 1014, ""genre"": ""pop""}, {""count"": 624, ""genre"": ""rock""}, {""count"": 352, ""genre"": ""ballad""}, {""count"": 297, ""genre"": ""pop rock""}, {""count"": 244, ""genre"": ""classic rock""}, {""count"": 157, ""genre"": ""soul""}, {""count"": 151, ""genre"": ""soft rock""}, {""count"": 128, ""genre"": ""electronic""}], ""totalCount"": 8376, ""unknownCount"": 6945}","{""top"": [{""count"": 1014, ""genre"": ""pop""}, {""count"": 624, ""genre"": ""rock""}, {""count"": 352, ""genre"": ""ballad""}, {""count"": 297, ""genre"": ""pop rock""}, {""count"": 244, ""genre"": ""classic rock""}, {""count"": 157, ""genre"": ""soul""}, {""count"": 151, ""genre"": ""soft rock""}, {""count"": 128, ""genre"": ""electronic""}], ""updatedAt"": ""2026-09-16T19:23:03.368Z"", ""sampleSize"": 10498, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T19:20:38.974Z"", ""excludedCount"": 111, ""genreCoverage"": 0.17088607594936708, ""readinessTier"": ""ready"", ""resolvedCount"": 8374, ""resolutionRate"": 0.7976757477614784, ""datedTrackCount"": 7563, ""genreTaggedCount"": 1431, ""uniqueTrackCount"": 1633, ""uniqueArtistCount"": 646, ""unknownGenreCount"": 6943, ""datedTrackCoverage"": 0.9031526152376403}",curated,radio_browser,mixed,f
Capital FM - 91.3 FM (MP3),capital-fm-91-3-fm-mp3,,Uganda,https://capitalradio.co.ug/,"[""adult contemporary"", ""pop"", ""r&b/urban"", ""top 40"", ""world"", ""world music""]",91.3 Capital FM - Uganda,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:19:15.461Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
Cashmere Radio,cashmere-radio,Cashmere Radio e.V.,DE,https://cashmereradio.com/,"[""avant-garde"", ""berlin"", ""community"", ""community radio"", ""experimental"", ""non-commercial"", ""non-profit"", ""specialist""]","Cashmere Radio is a community experimental radio station based in Lichtenberg, Berlin - broadcasting underground music, talk shows and live performative arts.","{""top"": [], ""totalCount"": 12, ""unknownCount"": 12}","{""top"": [], ""updatedAt"": ""2026-09-16T19:15:34.457Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 269, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",community,curated,mixed,t
